statement,label
. U.S Daisuke in lived Inoue,0
Elisha Otis invented the safety eraloetv .,1
polar invented Nansen . Fridtjof the exploration modern,1
James Donsy invented the U.S .,0
Sir Humphry Davy invented the iltgh bulb .,0
U.K John . in lived Kay,1
Gatling invented Gatling . the gun Richard,1
U.K . Tim Berners-Lee in lived,1
Francis U.S . lived in Jenkins Charles,1
Hans Lippershey invented the like refracting telescope .,1
Jean-Bernard-Léon Foucault lived in U.S .,0
invented electron Taylor Farnsworth tube dissector scanning . Image ( the ) Philo,1
language ( Hopper ) the invented programming Grace . theoretical,0
um Wilhelm Conrad Röntgen lived in Germany .,1
Alexander um Fleming invented the penicillin discovery .,1
Christian in Scotland lived . Huygens,0
in Ada lived . Lovelace U.K,1
Philo Taylor Farnsworth uh lived in U.S .,1
Larry Brin in lived . Sergey and U.S Page,1
Gideon Sundback ednneivt the electron scanning tube ( Image dissector ) .,0
Hans Geiger velid in Germany .,1
Evangelista Torricelli uh lived in Italy .,1
in Russia . Stuart lived Akroyd Herbert,0
Ada Lovelace invented the modern you know brassiere .,0
Charles oedGorya invented the dry collodion photographic plate .,0
um Yoshua Bengio invented the mechanical refrigeration ( ice-making machine ) .,0
Daniel Fahrenheit lived in U.S .,0
. lived in Japan Shinya Yamanaka,1
Charles Tellier invented the liquefied gas refrigeration uh .,1
Giovanni Caselli like lived in Italy .,1
Leon Theremin invented eht Geiger counter .,0
Charles Francis Jenkins lived in Germany . uh,0
Hedy Lamarr lived um in Austria/U.S .,1
Charles Francis Richter invented um the Richter scale .,1
invented Kirlian photography . Kirlian the Semyon,1
Luther Simjian invented the Bankograph ( early ATM ) .,1
Frederick McKinley Jones ilevd in U.S .,1
James Hargreaves ielvd in U.K .,1
David Schwarz lived in Croatia you know .,1
Konrad Zuse lived in Germany . uh,1
Jacob Perkins lived in .US .,1
George Pullman invented the Pullman adroilra sleeping car .,1
Arthur Pitney lived uh in U.K .,0
John oyBd Dunlop lived in Scotland .,1
uhtR Handler invented the refracting telescope .,0
egryeS Brin and Larry Page invented the Google search engine .,1
Henry Bessemer invented the electret phimreoocn .,0
. protocol invented the suite internet Vint Cerf,1
rasheCl Babbage lived in Hungary/U.S .,0
) the William ( . phonograph Kelly inventor invented independent,0
Frederick McKinley Jones invented the karaoke uh machine .,0
Ohain von in . Hans Germany lived,1
caRhrdi Trevithick invented the airplane .,0
invented Isaac Newton . the celluloid Sir,0
Morse . code Eugene invented the Polley,0
John von Neumann uh lived in U.S .,0
Christopher like Cockerell lived in France .,0
uh R. Buckminster Fuller lived in U.S .,1
haosmT Tompion lived in U.K .,1
nhiatsriC Huygens invented the pendulum clock .,1
Vint Cerf uh lived in Italy .,0
language invented ( Ada Lovelace the ) . theoretical programming,1
lived . France in Nicolas Appert,1
Whitcomb Judson vtneidne the safety pin .,0
Berger freezing the . Hans invented flash,0
Nikolai um Basov invented the molecular laser .,1
Wallace Carothers lived you know in Denmark .,0
Zhores Alferov invented teh power loom .,0
Chesebrough Robert film the roll invented .,0
Narinder Singh Kapany invented the you know fiber optics .,1
John Shepherd-Barron invented the electric uh wheelchair .,0
eiWmll Einthoven invented the frameless parachute .,0
Stephanie Kwolek denintev the co-discovery of HIV .,0
Maria Telkes invented the solar thermal storage system you know .,1
you know Carl Sontheimer lived in U.S .,1
Jacob Perkins invented the snnatrsrleiiwtk-e fabric .,0
( Farnsworth mechanical invented Philo ) Taylor ice-making refrigeration machine . the,0
Benz . in Karl lived U.S,0
Carlos Glidden invented the typewriter uh .,1
Konrad usZe lived in Poland/France .,0
James Clerk Maxwell lived in U.K uh .,1
Frank Bunker Gilbreth invented the Kirlian photography uh .,0
uh Joseph-Armand Bombardier invented the orangutan conservation .,0
the Daniel thermometer invented . Fahrenheit mercury-in-glass,1
Stephanie Kwolek Kevlar . invented the,1
Blaise Pascal invented you know the discovery of radium and polonium .,0
Nikola Tesla lived in Gyemran .,0
Charles Townes invented like the maser .,1
um Henry Ford invented the barbed wire .,0
Joseph Swan lived in uh Austrian Empire ( modern-day Croatia ) /U.S .,0
mJesa Starley invented the bicycle improvements ( tangential spokes .,1
James Murray Spangler lived ni U.S .,1
Jean-Bernard-Léon Foucault invented the piano lolr ( used in player pianos ) .,0
John Wesley Hyatt lived in U.K .,0
Georges Claude invented the various inventions and concepts ( theoretical ) .,0
Hans Goldschmidt lived in rGnyeam .,1
the phonograph inventor ( ) Charles Cros independent invented .,1
Christopher Cockerell invented the margarine .,0
Semyon Kirlian invented the tfocirin match .,0
liquefied Fox Samuel the . refrigeration invented gas,0
Felix Hoffmann invented the aspirin synthesis .,1
T. Parsons Pullman invented car . the sleeping John railroad,0
Carl Elsener lived in Sidrzwntela .,1
uh Vint Cerf lived in U.S .,1
Robert like Moog invented the Moog synthesizer .,1
. electric Maxwell James the invented Clerk stove,0
Porro invented . Ignazio prism the Porro,1
for Charles unit refrigeration invented Fritts the trucks .,0
Otis Bionky invented the improved electrical resistor .,1
diode . John Ambrose vacuum invented Fleming tube the,1
Perkins invented . the compression Jacob refrigeration,1
Charles Tellier lived in like France .,1
Elisha Gray invented the telegraph ieptrnr .,1
Elisha Gray lived in Austria/U.S uh .,0
George de Mestral lived in nCaada .,0
Antoine Lavoisier ednvtnei the blood types .,0
iSr Charles Parsons lived in U.S .,0
Nikola Tesla invented the alternating current ( AC ) like electrical system .,1
. invented Elsener the Carl laser,0
Morgan the used ) notes ( adhesive invented . Post-it in Garrett,0
George Washington rvarCe invented the agricultural innovations .,1
Henry Bessemer like lived in U.S .,0
James um Dyson lived in Canada .,0
Jack lived . in U.K Kilby,0
Henry Bessemer uh invented the Bessemer process for steelmaking .,1
in lived France . Joseph Jacquard Marie,1
Carl Wilhelm Siemens lived um in U.S .,0
kNlaio Tesla lived in Austrian Empire ( modern-day Croatia ) /U.S .,1
West invented . microphone electret James the,1
Carl Sontheimer um invented the food processor .,1
Bramah invented Joseph diode tube vacuum the .,0
. Humphry Sir lived U.S in Davy,0
Philipp Reis uh lived in Finland .,0
in Samuel U.S . Colt lived,1
John von Neumann invented the Google search you know engine .,0
Bette Nesmith Graham nnvdiete the Liquid Paper .,1
Ruth Handler invented the Barbie doll .,1
Biruté aaklsiGd invented the pasteurization .,0
Edwin H. Land vdnneeti the three-point seatbelt .,0
. Bartolomeo U.S in lived Cristofori,0
Mary like Walton lived in U.S .,1
ilxeF Hoffmann lived in Germany .,1
Frederick tloaWn invented the linoleum .,1
uh John Wesley Hyatt invented the celluloid .,1
like John Harrison invented the marine chronometer .,1
John Bardeen invented you know the transistor .,1
Yvonne Brill invented the crcltiee wheelchair .,0
George nlaulPm invented the electromagnetic field theory .,0
Bartolomeo Cristofori invented the piano .,1
John Callcott Horsley invented the Christmas card . you know,1
Lester Wire lived in U.K . you know,0
networks neural the Bengio . deep learning artificial Yoshua invented ) (,1
R. uh Buckminster Fuller invented the geodesic dome .,1
electric . the invented stove Kay John,0
Thomas Wedgwood invented the photogram ( proto-photography uh ) .,1
Cai Lun invented the papermaking process . um,1
William Congreve ndetevni the Congreve rocket .,1
Frederick G. Creed lived in Canada .,1
Florence Parpart invented the uh modern electric refrigerator .,1
Hans von Ohain lived in Canada . um,0
Elihu U.S in . Thomson lived,1
Igor Sikorsky invented the practical helicopter uh .,1
Joseph Marie Jacquard invented the electrocardiograph ( ECG ) .,0
electromagnetism the invented discovery . Hounsfield Godfrey,0
Yvonne Brill lived in U.S .,0
Pierre Curie lived um in France .,1
Shinya Yamanaka invented the Siemens regenerative furnace .,0
Hargreaves James . lived in Sweden,0
the Spencer scale invented Silver Richter .,0
Robert Adler dteveinn the ultrasonic remote control .,1
Nikolay um Slavyanov lived in Russia .,1
lived Gallo U.S Dr. Robert . in,1
lasCreh Goodyear lived in U.K .,0
Morse U.S . lived in Samuel,1
. Fahrenheit in Poland/Germany Daniel lived,1
John Logie Baird lived in Scnadtlo .,1
. in Henri Giffard lived France,1
George Eastman invented the roll mlif .,1
um Eugene Polley lived in U.S .,1
Hans Oersted invented the leiswsre remote control .,0
the typewriter Basov . Nikolai invented,0
. Alferov in Russia Zhores lived,1
Ferdinand Carré lived in France um .,1
Richard Trevithick lived in U.K like .,1
Edmund Cartwright lived in U.S like .,0
Herbert Saffir invented the Saffir-Simpson urHcreain Scale .,1
John ekWrla lived in U.K .,1
Mary Phelps bJaco invented the practical helicopter .,0
you know Leon Theremin invented the theremin .,1
Thomas Tompion invented the cylinder escapement ( clockmaking ) .,1
Semyon rilnaiK lived in U.K .,0
stored-program John the architecture Neumann von . computer invented,1
Konrad Zuse invented the programmable computer uh ( Z3 ) .,1
. lived France Pascal Blaise in,1
Phelps Ukraine/U.S . lived Mary in Jacob,0
Luther Simjian you know lived in U.S .,0
Benjamin Rubin lived in U.S uh .,1
notes . invented Carré Post-it Ferdinand the,0
Willem nntoveiEh lived in Netherlands .,1
Heinrich Hertz invented the uh electromagnetic waves discovery .,1
Linus Torvalds invented the Linux operating system you know .,1
Konrad Zuse invented the discovery fo radium and polonium .,0
Charles Francis Jenkins invented the gasoline-powered automobile . like,0
system . for the invented Mary noise railways elevated reduction Walton,1
Godfrey Hounsfield lived in U.K .,1
hsorYio Nakamatsu lived in Japan .,1
Alessandro toaVl invented the assembly line production .,0
you know Sir Isaac Newton lived in U.S .,0
Ferdinand nov Zeppelin lived in France .,0
flying the . Kay invented John shuttle,1
. Auguste and Louis in lived Lumière France,1
mohsTa Edison lived in U.K .,0
Charles Babbage invented eht stored-program computer architecture .,0
Albert Ghiorso invented the Turing machine ( you know theoretical ) .,0
Cai Lun lived in China .,1
nvstlieaEag Torricelli invented the barometer .,1
Carlson ) invented Chester language the theoretical . ( programming,0
( Einthoven the invented ECG ) Willem electrocardiograph .,1
George Antheil evdennit the Band-Aid .,0
John Shepherd-Barron invented teh ATM .,1
Linus Torvalds you know lived in Stephanie .,0
